reset,
22788,2.5
22881,2
22974,1.5
23067,1.1
23160,0.7
23254,0.2
23347,0
23440,-0.1
23533,-0.2
23626,-0.2
23719,-0.2
23812,-0.2
23905,-0.2
23998,0
24091,0.4
24184,1
24278,1.8
24371,2.4
24464,2.9
24557,3.4
24650,3.7
24743,4.1
24837,4.4
24930,4.5
25022,4.5
25115,4.5
25208,4.4
25302,4.2
25395,4
25488,3.7
25581,3.2
25674,2.6
25767,2
25861,1.3
25954,0.7
26047,0.1
26139,-0.2
26232,-0.2
26326,-0.1
26419,-0.1
26512,-0.1
26605,-0.1
26698,-0.1
26791,-0.1
26885,-0.1
